address,close_hour,detail_url,latitude,longitude,name,open_hour,point,postal_code,reviews,url
神奈川県川崎市高津区野川２１８５,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%2595%25B7%25E5%25B4%258E%25E3%2581%25A1%25E3%2582%2583%25E3%2582%2593%25E3%2581%25BB%25E3%2582%2593-%25E3%2583%25AA%25E3%2583%25B3%25E3%2582%25AB%25E3%2583%25BC%25E3%2583%258F%25E3%2583%2583%25E3%2583%2588-%25E5%25B7%259D%25E5%25B4%258E%25E9%2587%258E%25E5%25B7%259D%25E5%25BA%2597-ringer-hut-kawasaki-nogawa/opS5_RiqSIWwx9CPJykNLQ/location-and-hours/,35.5687082,139.6155708,長崎ちゃんぽん リンガーハット 川崎野川店 Ringer Hut KAWASAKI-NOGAWA,11:00,4.5,213-0027,77,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%95%B7%E5%B4%8E%E3%81%A1%E3%82%83%E3%82%93%E3%81%BB%E3%82%93-%E3%83%AA%E3%83%B3%E3%82%AB%E3%83%BC%E3%83%8F%E3%83%83%E3%83%88-%E5%B7%9D%E5%B4%8E%E9%87%8E%E5%B7%9D%E5%BA%97-ringer-hut-kawasaki-nogawa/opS5_RiqSIWwx9CPJykNLQ/
1 Chome-1-10 Hiyoshihonchō,20:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E5%258C%2597%25E6%25B5%25B7%25E9%2581%2593%25E5%2594%2590%25E6%258F%259A%25E3%2581%2591-%25E3%2581%2588%25E3%2581%259D%25E4%25B8%25B8-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-ezomaru-hiyoshi/r4E9Emr1TPO2TH0fCIpOiA/location-and-hours/,35.553703,139.646319,北海道唐揚げ えぞ丸 日吉店 Ezomaru Hiyoshi,11:00,4.7,Kōhoku-Ku,78,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%8C%97%E6%B5%B7%E9%81%93%E5%94%90%E6%8F%9A%E3%81%91-%E3%81%88%E3%81%9D%E4%B8%B8-%E6%97%A5%E5%90%89%E5%BA%97-ezomaru-hiyoshi/r4E9Emr1TPO2TH0fCIpOiA/
神奈川県横浜市港北区日吉本町1丁目23-3,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%259D%25E3%2581%25AF%25E5%2587%25A6-%25E3%2581%259F%25E3%2581%25A4%25E5%2590%2589-japanese-noodle-tatsukichi/Q_k2ZnpoRaK_1n197p79KA/location-and-hours/,35.5528251,139.646146,そば処 たつ吉 Japanese Noodle TATSUKICHI,11:30,4.3,1F,150,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%9D%E3%81%AF%E5%87%A6-%E3%81%9F%E3%81%A4%E5%90%89-japanese-noodle-tatsukichi/Q_k2ZnpoRaK_1n197p79KA/
神奈川県川崎市中原区木月四丁目31番7号,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%25AF%25E3%2581%25BE%25E5%25AF%25BF%25E5%258F%25B8-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-hamazushi-hiyoshi/isH66YsOSjmblAQ6VQWGng/location-and-hours/,35.5590088,139.6517927,はま寿司 日吉店 Hamazushi Hiyoshi,11:00,4.2,リンコー日吉ビル1階,143,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%AF%E3%81%BE%E5%AF%BF%E5%8F%B8-%E6%97%A5%E5%90%89%E5%BA%97-hamazushi-hiyoshi/isH66YsOSjmblAQ6VQWGng/
5 Chome-4-12 Tsunashimanishi,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%25A6%25E3%2581%25A3%25E3%2581%25AF%25E3%2582%2593%25E3%2580%2582-teppan/TH8Pq_FeQ2icwFoUkJVtIw/location-and-hours/,35.5457627,139.6273047,てっぱん。 Teppan.,11:30,4.2,Kōhoku-Ku,53,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%A6%E3%81%A3%E3%81%AF%E3%82%93%E3%80%82-teppan/TH8Pq_FeQ2icwFoUkJVtIw/
Hamatora Hiyoshi Shop,20:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%25BA%25BA%25E5%25A0%25B4%25E3%2583%258F%25E3%2583%259E%25E3%2583%2588%25E3%2583%25A9-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-menba-hamatora-hiyoshi/xWz9GycQS92vdDKJRwxSmQ/location-and-hours/,35.555392,139.645156,麺場ハマトラ 日吉店 Menba Hamatora Hiyoshi,12:00,4.6,1F,114,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%BA%BA%E5%A0%B4%E3%83%8F%E3%83%9E%E3%83%88%E3%83%A9-%E6%97%A5%E5%90%89%E5%BA%97-menba-hamatora-hiyoshi/xWz9GycQS92vdDKJRwxSmQ/
神奈川県川崎市宮前区野川１２３３,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25AB%25E3%2582%25B9%25E3%2583%2588-%25E9%2587%258E%25E5%25B7%259D%25E5%25BA%2597-gusto-nogawa/LBuDcES1TRaNZlarMciPag/location-and-hours/,35.5726885,139.6147273,ガスト 野川店 Gusto Nogawa,10:30,4.4,216-0001,46,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AB%E3%82%B9%E3%83%88-%E9%87%8E%E5%B7%9D%E5%BA%97-gusto-nogawa/LBuDcES1TRaNZlarMciPag/
神奈川県横浜市港北区日吉3-2-15,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25AD%25E3%2583%2583%25E3%2583%2581%25E3%2583%25B3-%25E3%2582%25AA%25E3%2583%25AA%25E3%2582%25B7%25E3%2583%25B3-%25E6%2597%25A5%25E5%2590%2589-kitchen-origin-hiyoshi/myJbQoxgT6qVhAyhEieleg/location-and-hours/,35.5574719,139.6499443,キッチン オリジン 日吉 Kitchen Origin Hiyoshi,10:00,4.2,Kanagawa,32,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E3%82%AA%E3%83%AA%E3%82%B7%E3%83%B3-%E6%97%A5%E5%90%89-kitchen-origin-hiyoshi/myJbQoxgT6qVhAyhEieleg/
神奈川県横浜市港北区日吉本町1-16,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25AB%25E3%2583%25AC%25E3%2583%25BC%25E3%2583%258F%25E3%2582%25A6%25E3%2582%25B9-coco%25E5%25A3%25B1%25E7%2595%25AA%25E5%25B1%258B-%25E6%25B8%25AF%25E5%258C%2597%25E5%258C%25BA%25E6%2597%25A5%25E5%2590%2589%25E4%25B8%25AD%25E5%25A4%25AE%25E9%2580%259A%25E3%2582%258A-curry-house-coco-ichibanya-kouhokuku-hiyoshichuodori/geeOcwkIR1ihdYzmlaiiwg/location-and-hours/,35.5539249,139.6439539,カレーハウス CoCo壱番屋 港北区日吉中央通り Curry House CoCo Ichibanya Kouhokuku Hiyoshichuodori,11:00,4.9,ﾏｲｷｬｯｽﾙ日吉1階,14,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AB%E3%83%AC%E3%83%BC%E3%83%8F%E3%82%A6%E3%82%B9-coco%E5%A3%B1%E7%95%AA%E5%B1%8B-%E6%B8%AF%E5%8C%97%E5%8C%BA%E6%97%A5%E5%90%89%E4%B8%AD%E5%A4%AE%E9%80%9A%E3%82%8A-curry-house-coco-ichibanya-kouhokuku-hiyoshichuodori/geeOcwkIR1ihdYzmlaiiwg/
神奈川県川崎市中原区宮内4-7-19,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E5%2592%258C%25E9%25A3%259F%25E3%2581%2595%25E3%2581%25A8-%25E5%25B7%259D%25E5%25B4%258E%25E7%25AD%2589%25E3%2580%2585%25E5%258A%259B-washoku-sato-kawasakitodoroki/hT04UgaDRFmBaZuSA8-v4A/location-and-hours/,35.5840971,139.6468688,和食さと 川崎等々力 Washoku Sato Kawasakitodoroki,11:00,3.9,Kanagawa,40,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%92%8C%E9%A3%9F%E3%81%95%E3%81%A8-%E5%B7%9D%E5%B4%8E%E7%AD%89%E3%80%85%E5%8A%9B-washoku-sato-kawasakitodoroki/hT04UgaDRFmBaZuSA8-v4A/
神奈川県川崎市中原区下小田中１ー２８ー１,20:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25B5%25E3%2583%25BC%25E3%2583%2586%25E3%2582%25A3%25E3%2583%25AF%25E3%2583%25B3-%25E3%2582%25A2%25E3%2582%25A4%25E3%2582%25B9%25E3%2582%25AF%25E3%2583%25AA%25E3%2583%25BC%25E3%2583%25A0-%25E6%25AD%25A6%25E8%2594%25B5%25E4%25B8%25AD%25E5%258E%259F%25E3%2583%259E%25E3%2583%25AB%25E3%2582%25A8%25E3%2583%2584%25E5%25BA%2597-31-icecream-musashinakahara-maruetsu/Ou3sTH0BQOuWiph99860kA/location-and-hours/,35.5792816,139.639078,サーティワン アイスクリーム 武蔵中原マルエツ店 31 IceCream Musashinakahara Maruetsu,11:00,,211-0041,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%AF%E3%83%B3-%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E3%83%9E%E3%83%AB%E3%82%A8%E3%83%84%E5%BA%97-31-icecream-musashinakahara-maruetsu/Ou3sTH0BQOuWiph99860kA/
神奈川県 川崎市 中原区 下小田中 1-5-25,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E9%25A0%2582-%25E4%25B8%25BC%25E4%25B8%25B8-itadaki-donmaru/TtbJFAFKSwOhdiZE8oRxEA/location-and-hours/,35.5811182,139.6398493,頂 丼丸 Itadaki Donmaru,11:00,4.4,Kanagawa,49,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E9%A0%82-%E4%B8%BC%E4%B8%B8-itadaki-donmaru/TtbJFAFKSwOhdiZE8oRxEA/
神奈川県川崎市中原区上小田中６丁目２１－１４,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25B7%25E3%2583%25A7%25E3%2583%258A%25E3%2582%25B5%25E3%2583%25B3-%25E6%25AD%25A6%25E8%2594%25B5%25E4%25B8%25AD%25E5%258E%259F%25E5%25BA%2597-jonathans-musashi-nakahara/9u5KHMo0SR6A93MJrcNUoQ/location-and-hours/,35.5805426,139.6423767,ジョナサン 武蔵中原店 Jonathan's Musashi Nakahara,10:00,4.6,211-0053,43,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B7%E3%83%A7%E3%83%8A%E3%82%B5%E3%83%B3-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-jonathans-musashi-nakahara/9u5KHMo0SR6A93MJrcNUoQ/
神奈川県川崎市中原区宮内4-30-10,21:30,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25B7%25E3%2583%25A7%25E3%2583%25AA%25E3%2583%25BC%25E3%2583%258F%25E3%2582%25B9%25E3%2582%25BF-%25E6%25AD%25A6%25E8%2594%25B5%25E5%25B0%258F%25E6%259D%2589%25E5%25BA%2597-jolly-pasta-musashi-kosugi/ParVoJgfQ2enwzYznD3laA/location-and-hours/,35.5859378,139.6432113,ジョリーパスタ 武蔵小杉店 Jolly Pasta Musashi Kosugi,11:00,,Kanagawa,,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%B7%E3%83%A7%E3%83%AA%E3%83%BC%E3%83%8F%E3%82%B9%E3%82%BF-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%BA%97-jolly-pasta-musashi-kosugi/ParVoJgfQ2enwzYznD3laA/
神奈川県川崎市中原区木月４丁目３８－４,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2582%25AF%25E3%2583%25A9%25E3%2583%2583%25E3%2583%2581%25E3%2582%25A7%25E3%2582%25AB%25E3%2583%25BC%25E3%2583%2586%25E3%2583%25B3%25E3%2582%25B9-%25E5%25B7%259D%25E5%25B4%258E%25E6%259C%25A8%25E6%259C%2588%25E5%25BA%2597-grazie-gardens-kawasaki-kizuki/hTCzc94KRLCrDXKrjL3jjg/location-and-hours/,35.5590738,139.6526413,グラッチェガーデンズ 川崎木月店 Grazie Gardens Kawasaki Kizuki,10:30,4.4,ビージェネテック２Ｆ,34,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%82%AF%E3%83%A9%E3%83%83%E3%83%81%E3%82%A7%E3%82%AB%E3%83%BC%E3%83%86%E3%83%B3%E3%82%B9-%E5%B7%9D%E5%B4%8E%E6%9C%A8%E6%9C%88%E5%BA%97-grazie-gardens-kawasaki-kizuki/hTCzc94KRLCrDXKrjL3jjg/
神奈川県横浜市港北区日吉本町１－１－６,21:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2595%25E3%2582%25A1%25E3%2583%25BC%25E3%2582%25B9%25E3%2583%2588%25E3%2582%25AD%25E3%2583%2583%25E3%2583%2581%25E3%2583%25B3-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-first-kitchen-hiyoshi/4ZftmrSsSgSorVm9GFC0GA/location-and-hours/,35.5537686,139.64621,ファーストキッチン 日吉店 First Kitchen HIYOSHI,11:00,4.3,HIKARUビル１F,318,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%95%E3%82%A1%E3%83%BC%E3%82%B9%E3%83%88%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3-%E6%97%A5%E5%90%89%E5%BA%97-first-kitchen-hiyoshi/4ZftmrSsSgSorVm9GFC0GA/
神奈川県横浜市港北区日吉本町1-20-2,20:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E6%259D%25BE%25E5%25B1%258B-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-matsuya-hiyoshi/gjEY3RKQS2a61-hQ4_Ulog/location-and-hours/,35.5531342,139.645836,松屋 日吉店 Matsuya Hiyoshi,10:00,4.5,Kanagawa,49,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E6%9D%BE%E5%B1%8B-%E6%97%A5%E5%90%89%E5%BA%97-matsuya-hiyoshi/gjEY3RKQS2a61-hQ4_Ulog/
神奈川県川崎市中原区宮内4丁目7-12,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2592%25E3%2583%2583%25E3%2582%25AF%25E3%2583%259B%25E3%2583%25BC%25E3%2582%25A4-%25E5%25B7%259D%25E5%25B4%258E%25E7%25AD%2589%25E3%2580%2585%25E5%258A%259B-bigboy-kawasakitodoroki/IA_Ki0-dQWe5SrytViO61A/location-and-hours/,35.5843471,139.6461931,ビッグボーイ 川崎等々力 BigBoy Kawasakitodoroki,11:00,4.5,Kanagawa,55,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%92%E3%83%83%E3%82%AF%E3%83%9B%E3%83%BC%E3%82%A4-%E5%B7%9D%E5%B4%8E%E7%AD%89%E3%80%85%E5%8A%9B-bigboy-kawasakitodoroki/IA_Ki0-dQWe5SrytViO61A/
神奈川県川崎市中原区上小田中6-17-7,21:15,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%25AA%25E3%2581%258B%25E5%258D%25AF-%25E6%25AD%25A6%25E8%2594%25B5%25E4%25B8%25AD%25E5%258E%259F%25E5%25BA%2597-nakau-musashi-nakahara/XE8PaiYeTK6-M-Q9Ezeugg/location-and-hours/,35.5792345,139.6447905,なか卯 武蔵中原店 Nakau Musashi-Nakahara,10:00,4.5,211-0053,330,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%AA%E3%81%8B%E5%8D%AF-%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-nakau-musashi-nakahara/XE8PaiYeTK6-M-Q9Ezeugg/
神奈川県横浜市港北区日吉本町1-22-10,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E5%2590%2589%25E9%2587%258E%25E5%25AE%25B6-%25E6%2597%25A5%25E5%2590%2589%25E9%25A7%2585%25E5%2589%258D%25E5%25BA%2597-yoshinoya-hiyoshi-ekimae/T74mbAPKS3ytNRS55MhbQQ/location-and-hours/,35.5531058,139.6462277,吉野家 日吉駅前店 Yoshinoya HIYOSHI-EKIMAE,10:00,4.5,223-0062,219,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E5%90%89%E9%87%8E%E5%AE%B6-%E6%97%A5%E5%90%89%E9%A7%85%E5%89%8D%E5%BA%97-yoshinoya-hiyoshi-ekimae/T74mbAPKS3ytNRS55MhbQQ/
神奈川県川崎市中原区今井仲町４－３１,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%258F%25E3%2583%25BC%25E3%2583%259F%25E3%2583%25A4%25E3%2583%25B3-%25E6%25AD%25A6%25E8%2594%25B5%25E5%25B0%258F%25E6%259D%2589%25E5%25BA%2597-bamiyan-musashi-kosugi/ZsbAOJktS4iy0rpst0X6TA/location-and-hours/,35.5769015,139.6509345,バーミヤン 武蔵小杉店 Bamiyan Musashi Kosugi,10:30,4.4,211-0065,329,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%8F%E3%83%BC%E3%83%9F%E3%83%A4%E3%83%B3-%E6%AD%A6%E8%94%B5%E5%B0%8F%E6%9D%89%E5%BA%97-bamiyan-musashi-kosugi/ZsbAOJktS4iy0rpst0X6TA/
神奈川県横浜市港北区日吉本町1-3-3,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2581%258B%25E3%2582%2589%25E3%2582%2584%25E3%2581%25BE-%25E6%2597%25A5%25E5%2590%2589%25E5%25BA%2597-karayama-hiyoshi/gqJViZhPTbSuTmX1mzVN5w/location-and-hours/,35.5538367,139.6453188,からやま 日吉店 Karayama HIYOSHI,10:30,4.5,力亭ビル１階東号,500,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%81%8B%E3%82%89%E3%82%84%E3%81%BE-%E6%97%A5%E5%90%89%E5%BA%97-karayama-hiyoshi/gqJViZhPTbSuTmX1mzVN5w/
神奈川県川崎市中原区上小田中４－２－１,23:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%259E%25E3%2582%25AF%25E3%2583%2588%25E3%2583%258A%25E3%2583%25AB%25E3%2583%2588-%25E3%2583%2592%25E3%2583%25BC%25E3%2583%25B3%25E3%2582%25B9%25E6%25AD%25A6%25E8%2594%25B5%25E4%25B8%25AD%25E5%258E%259F%25E5%25BA%2597-mcdonalds-beans-musashi-nakahara/7DKpURPwQByeEmOn-NOyUw/location-and-hours/,35.581376,139.640982,マクドナルド ビーンズ武蔵中原店 McDonald's BEANS MUSASHI NAKAHARA,10:30,4.5,2110053,500,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%9E%E3%82%AF%E3%83%88%E3%83%8A%E3%83%AB%E3%83%88-%E3%83%92%E3%83%BC%E3%83%B3%E3%82%B9%E6%AD%A6%E8%94%B5%E4%B8%AD%E5%8E%9F%E5%BA%97-mcdonalds-beans-musashi-nakahara/7DKpURPwQByeEmOn-NOyUw/
神奈川県横浜市港北区綱島東２－７－３１,22:00,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%25E3%2583%2586%25E3%2583%258B%25E3%2583%25BC%25E3%2582%25B9-%25E7%25B6%25B1%25E5%25B3%25B6%25E6%259D%25B1%25E5%25BA%2597-dennys-tsunashimahigashi/Iy4Ff974Rz6kOaL0E1dyNA/location-and-hours/,35.5411079,139.6398592,デニーズ 綱島東店 Denny's TSUNASHIMAHIGASHI,11:00,4.5,223-0052,149,https://www.ubereats.com/ja-JP/yokohama/food-delivery/%E3%83%86%E3%83%8B%E3%83%BC%E3%82%B9-%E7%B6%B1%E5%B3%B6%E6%9D%B1%E5%BA%97-dennys-tsunashimahigashi/Iy4Ff974Rz6kOaL0E1dyNA/?promo=29f69e51-1820-4401-bdc3-4d4956761b8c
